Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE: ROOM1:Zone Air Temperature [C](Hourly),THERMAL ZONE: ROOM2:Zone Air Temperature [C](Hourly) 
 07/19  10:00:00,15.641666666666671,17.93903676553313,18.459490315161844 
 07/19  11:00:00,16.45,18.959176613099633,20.013751299703177 
 07/19  12:00:00,16.991666666666667,20.084268998359555,21.267063493105486 
 07/19  13:00:00,17.55,21.043543963522424,21.8865092813049 
 07/19  14:00:00,17.683333333333334,22.116177465058172,22.385421778016397 
 07/19  15:00:00,17.483333333333334,23.301434826088283,22.700725813086887 
 07/19  16:00:00,17.283333333333335,24.412542436853645,22.85313456862727 
 07/19  17:00:00,16.908333333333335,25.200488423053297,22.859981663607815 
 07/19  18:00:00,16.349999999999998,25.516238827672733,22.767144694635487 
 07/19  19:00:00,15.808333333333332,25.083974362556898,22.497222716663213 
 07/19  20:00:00,15.133333333333333,23.886637679663266,21.910953475983373 
 07/19  21:00:00,14.391666666666666,22.56694540416132,21.166069511286395 
 07/19  22:00:00,13.633333333333333,21.520447040897306,20.45647759782455 
 07/19  23:00:00,13.183333333333332,20.651390280102373,19.802874208142978 
 07/19  24:00:00,13.041666666666666,19.955989898055105,19.256481322131197 
 07/20  01:00:00,12.883333333333333,19.344701246648057,18.75346594414535 
 07/20  02:00:00,12.683333333333332,18.770941390833922,18.26132602824166 
 07/20  03:00:00,12.483333333333334,18.212013843656198,17.7646900637142 
 07/20  04:00:00,12.283333333333333,17.670631294865277,17.272650470935524 
 07/20  05:00:00,12.550000000000002,17.235227359436823,16.878311647487127 
 07/20  06:00:00,13.091666666666667,16.983649476648456,16.664999439869607 
 07/20  07:00:00,13.65,17.3535052052329,17.064435455920094 
 07/20  08:00:00,14.424999999999999,17.86649615479732,18.070076391656748 
 07/20  09:00:00,15.383333333333335,18.576147648083978,20.064608588321786 
 07/20  10:00:00,16.325,19.494545002965374,22.19576758363345 
 07/20  11:00:00,17.108333333333334,20.57619508665573,23.67559354572805 
 07/20  12:00:00,17.866666666666664,21.685368911045334,24.376441270111716 
 07/20  13:00:00,18.608333333333334,22.818389422688085,24.785789978749165 
 07/20  14:00:00,18.783333333333335,24.143479470293713,25.274681237582055 
 07/20  15:00:00,18.583333333333332,25.646789425260867,25.612101857538775 
 07/20  16:00:00,18.383333333333333,27.105666436731852,25.7492988539065 
 07/20  17:00:00,17.775000000000002,28.276868141710636,25.67695202695171 
 07/20  18:00:00,16.875,29.035059954907055,25.561298321269287 
 07/20  19:00:00,15.975,29.14034064974584,25.40860845229864 
 07/20  20:00:00,15.25,27.965778127090818,24.948978848144094 
 07/20  21:00:00,14.708333333333334,26.378656370562524,24.26504344868682 
 07/20  22:00:00,14.15,25.20489331379402,23.617648476031746 
 07/20  23:00:00,13.549999999999999,23.2698178300803,22.108321353859747 
 07/20  24:00:00,13.008333333333335,21.86798858200362,20.976539205937176 
 07/21  01:00:00,12.450000000000001,20.80525605510287,20.07788607587258 
 07/21  02:00:00,12.433333333333332,19.915398051953364,19.30427916890129 
 07/21  03:00:00,12.775,19.22959327713593,18.705859412627635 
 07/21  04:00:00,13.133333333333333,18.648392321136,18.19193305222357 
 07/21  05:00:00,13.533333333333333,18.16897571754731,17.766278661149723 
 07/21  06:00:00,13.875,17.93144701014489,17.842818245872195 
 07/21  07:00:00,14.233333333333334,18.58212095262076,19.80735073390097 
 07/21  08:00:00,14.633333333333333,19.061098032711183,21.982111482586166 
 07/21  09:00:00,15.033333333333333,19.579679574944205,23.79018263083188 
 07/21  10:00:00,15.433333333333332,20.39482333768574,25.199133842851378 
 07/21  11:00:00,16.008333333333333,21.414636262314914,26.132293860817068 
 07/21  12:00:00,16.766666666666666,22.512464918468357,26.469252675837964 
 07/21  13:00:00,17.508333333333336,23.57285980402139,26.524997171061756 
 07/21  14:00:00,17.683333333333334,24.79974642227892,26.706793880919005 
 07/21  15:00:00,17.483333333333334,26.24062202037541,26.813607646206773 
 07/21  16:00:00,17.283333333333335,27.646856191846584,26.767007675545205 
 07/21  17:00:00,16.791666666666668,28.77126478846613,26.55121388989592 
 07/21  18:00:00,16.033333333333335,29.50450145871646,26.33708543763348 
 07/21  19:00:00,15.291666666666666,29.57546212137612,26.111072603925322 
 07/21  20:00:00,14.65,28.362475919524815,25.592986663028906 
